epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,11.9488,0.67606,0.73151,0.92592,0.98936,1,0.995,0.6645,1.32516,0.82131,1.2868,0.0003962,0.0003962,0.0003962
83,12.0816,0.77403,0.77641,1.00339,0.98936,1,0.995,0.6645,1.32516,0.82131,1.2868,0.0003764,0.0003764,0.0003764
84,12.3161,0.81079,0.76174,0.97956,0.98936,1,0.995,0.6645,1.32516,0.82131,1.2868,0.0003566,0.0003566,0.0003566
85,12.4579,0.77186,0.78864,0.94592,0.98936,1,0.995,0.6645,1.32516,0.82131,1.2868,0.0003368,0.0003368,0.0003368
86,12.599,0.82304,0.77134,0.95026,0.9893,1,0.995,0.64183,1.36862,0.80315,1.30183,0.000317,0.000317,0.000317
87,12.7328,0.73095,0.80447,0.91606,0.9893,1,0.995,0.64183,1.36862,0.80315,1.30183,0.0002972,0.0002972,0.0002972
88,12.8665,0.70253,0.8443,0.91917,0.9893,1,0.995,0.64183,1.36862,0.80315,1.30183,0.0002774,0.0002774,0.0002774
89,13.0048,0.74606,0.82839,0.93822,0.9893,1,0.995,0.64183,1.36862,0.80315,1.30183,0.0002576,0.0002576,0.0002576
90,13.1495,0.82171,0.75534,0.94774,0.9894,1,0.995,0.64183,1.34373,0.77568,1.2819,0.0002378,0.0002378,0.0002378
91,13.4831,0.70655,0.88086,0.93295,0.9894,1,0.995,0.64183,1.34373,0.77568,1.2819,0.000218,0.000218,0.000218
92,13.6477,0.81958,0.94673,0.94146,0.9894,1,0.995,0.64183,1.34373,0.77568,1.2819,0.0001982,0.0001982,0.0001982
93,13.7833,0.80989,0.94953,0.9834,0.9894,1,0.995,0.64183,1.34373,0.77568,1.2819,0.0001784,0.0001784,0.0001784
94,13.9265,0.72611,0.94724,0.98456,0.98779,1,0.995,0.64245,1.32261,0.76253,1.27071,0.0001586,0.0001586,0.0001586
95,14.0599,0.715,0.93153,0.95802,0.98779,1,0.995,0.64245,1.32261,0.76253,1.27071,0.0001388,0.0001388,0.0001388
96,14.1914,0.69159,1.05372,0.98467,0.98779,1,0.995,0.64245,1.32261,0.76253,1.27071,0.000119,0.000119,0.000119
97,14.324,0.68978,0.97977,0.89743,0.98779,1,0.995,0.64245,1.32261,0.76253,1.27071,9.92e-05,9.92e-05,9.92e-05
98,14.4655,0.73082,0.92488,0.96099,0.98675,1,0.995,0.67035,1.29046,0.74598,1.25472,7.94e-05,7.94e-05,7.94e-05
99,14.6012,0.75279,0.88697,0.89645,0.98675,1,0.995,0.67035,1.29046,0.74598,1.25472,5.96e-05,5.96e-05,5.96e-05
100,14.7373,0.68889,0.96217,0.93349,0.98675,1,0.995,0.67035,1.29046,0.74598,1.25472,3.98e-05,3.98e-05,3.98e-05
